label,book1,author1,book2,author2,id
0,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",1756_1418
0,oracle industrial exhibit,amy pogue,objectivity industrial exhibit,objectivity,217_2135
0,extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",amalgamating knowledge bases,v. s. subrahmanian,2476_1309
1,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",610_1595
0,odefs : a file system interface to an object-oriented database,"narain h. gehani , william d. roome , h. v. jagadish",unisql/x unified relational and object-oriented database system,won kim,2183_1630
1,emergent semantics and the multimedia semantic web,"william i. grosky , farshad fotouhi , d. v. sreenath",emergent semantics and the multimedia semantic web,"w. i. grosky , d. v. sreenath , f. fotouhi",2580_616
0,dwms : data warehouse management system,narendra mohan,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",420_1866
0,data mining techniques,jiawei han,data mining : concepts and techniques by jiawei han and micheline kamber,"fernando berzal , nicolf &#225; s mat &#237; n",1541_747
0,qursed : querying and reporting semistructured data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",extracting schema from semistructured data,"svetlozar nestorov , serge abiteboul , rajeev motwani",1278_1799
0,advances in databases and information systems ( adbis ),"albertas caplinskas , johann eder , olegas vasilecas",amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,"amit sheth , robert meersman",1832_910
0,query unnesting in object-oriented databases,leonidas fegaras,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","georges gardarin , fei sha , zhao-hui tang",2232_1122
1,data management for pervasive computing,"mitch cherniack , stanley b. zdonik , michael j. franklin",data management for pervasive computing,"mitch cherniack , michael j. franklin , stanley b. zdonik",1061_1284
0,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",databases and transaction processing : an application-oriented approach,"philip m. lewis , arthur bernstein , michael kifer",1496_658
0,declarative updates of relational databases,weidong chen,enhanced abstract data types in object-relational databases,praveen seshadri,1491_1179
1,a taxonomy for secure object-oriented databases,"sebastiaan h. von solms , martin s. olivier",a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",1459_1317
0,what is the data warehousing problem ? ( are materialized views the answer ? ),"inderpal singh mumick , ashish gupta",algorithms for materialized view design in data warehousing environment,"jian yang , kamalakar karlapalem , qing li",2061_1072
1,"enterprise objects framework , a second generation object-relational enabler",charly kleissner,enterprise objects framework : a second generation object-relational enabler,charly kleissner,2463_1546
0,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",priority assignment in real-time active databases,"rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham",198_1213
0,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",odmg-93 : a standard for object-oriented dbmss,r. g. g. cattell,267_1631
1,compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek r. narasayya",compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek narasayya",516_735
0,the algres testbed of chimera : an active object-oriented database system,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",1021_225
1,on wrapping query languages and efficient xml integration,"jérôme siméon , vassilis christophides , sophie cluet",on wrapping query languages and efficient xml integration,"vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on",1938_73
0,document management as a database problem,rudolf bayer,is web-site management a database problem ?,"daniela florescu , alon y. levy , dan suciu",1466_990
0,index nesting - an efficient approach to indexing in object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",converting relational to object-oriented databases,joseph fong,1118_1915
1,controlling data warehouses with knowledge networks,"jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer",controlling data warehouses with knowledge networks,"elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke",2038_895
0,temporal database system implementations,michael h. böhlen,temporal conditions and integrity constraints in active database systems,"a. prasad sistla , ouri wolfson",162_1511
1,ansi sql hierarchical processing can fully integrate native xml,michael m. david,ansi sql hierarchical processing can fully integrate native xml,michael m. david,624_920
1,warping indexes with envelope transforms for query by humming,"dennis shasha , yunyue zhu",warping indexes with envelope transforms for query by humming,"yunyue zhu , dennis shasha",2227_2091
0,reminiscences on influential papers,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",influential papers,ken ross,575_650
0,database research at ut arlington,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",database research at arizona state university,"susan d. urban , suzanne w. dietrich , forouzan golshani",39_323
0,lore : a database management system for semistructured data,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",dwms : data warehouse management system,narendra mohan,2224_1051
0,discover : keyword search in relational databases,"vagelis hristidis , yannis papakonstantinou",converting relational to object-oriented databases,joseph fong,1610_1915
0,incremental computation and maintenance of temporal aggregates,"jun yang , jennifer widom",incremental maintenance of recursive views using relational calculus/sql,"guozhu dong , jianwen su",1798_493
0,procedures in object-oriented query languages,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi",an effective deductive object-oriented database through language integration,"maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",373_2239
1,opossum : desk-top schema management through customizable visualization,"miron livny , eben m. haber , yannis e. ioannidis",opossum : desk-top schema management through customizable visualization,"eben m. haber , yannis e. ioannidis , miron livny",164_1467
0,dms : a parallel data mining server,felicity a. w. george,scalable parallel data mining for association rules,"eui-hong han , george karypis , vipin kumar",1143_1812
1,naos - efficient and modular reactive capabilities in an object-oriented database system,"thierry coupaye , t. svensen , christine collet",naos - efficient and modular reactive capabilities in an object-oriented database system,"christine collet , thierry coupaye , t. svensen",2081_1419
0,user-adaptive exploration of multidimensional data,sunita sarawagi,a foundation for multi-dimensional databases,"marc gyssens , laks v. s. lakshmanan",924_1026
